pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1580,gltA,citrate synthase ,PA1580_gltA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4563,rpsT,30S ribosomal protein S20 ,PA4563_rpsT_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0213,---,hypothetical protein ,PA0213_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4565,proB,glutamate 5-kinase ,PA4565_proB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5495,thrB,homoserine kinase ,PA5495_thrB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3582,glpK,glycerol kinase ,PA3582_glpK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2097,---,probable flavin-binding monooxygenase ,PA2097_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3629,adhC,alcohol dehydrogenase class III ,PA3629_adhC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2357,msuE,NADH-dependent FMN reductase MsuE ,PA2357_msuE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0810,---,probable haloacid dehalogenase ,PA0810_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3108,purF,amidophosphoribosyltransferase ,PA3108_purF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5277,lysA,diaminopimelate decarboxylase ,PA5277_lysA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3560,fruA,"phosphotransferase system, fructose-specific IIBC component ",PA3560_fruA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2473,---,probable glutathione S-transferase ,PA2473_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0023,qor,quinone oxidoreductase ,PA0023_qor_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4031,ppa,inorganic pyrophosphatase ,PA4031_ppa_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4588,gdhA,glutamate dehydrogenase ,PA4588_gdhA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4976,aspC,aspartate transaminase ,PA4976_aspC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2153,glgB,"1,4-alpha-glucan branching enzyme ",PA2153_glgB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1933,---,probable hydroxylase large subunit ,PA1933_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5372,betA,choline dehydrogenase ,PA5372_betA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0361,---,probable gamma-glutamyltranspeptidase precursor ,PA0361_at,,
